,模型,窗口长度,mae,mse,rmse,R2,mean_n,var_n
0,GRU+GRUCNN+,10,2.458928896710061,20.424995186848705,4.519402082892017,0.8918945700103686,-0.0043606962104685565,20.424976171177263
1,GRU+LSTM+,10,2.4422014238199363,20.42453598635768,4.5193512793715955,0.8918970004670752,-0.26963378864327997,20.351833606379554
2,GRU+LSTMCNN+,10,2.5040719412541494,19.306805265178447,4.393950985750575,0.8978129264744167,0.1283618723354842,19.290328494908977
3,GRUCNN+LSTM+,10,2.43768584839834,20.35037457434456,4.511138944251724,0.8922895220447292,-0.32966168387051564,20.241697748532218
4,GRUCNN+LSTMCNN+,10,2.5198364730141125,19.50060857976278,4.415949340715174,0.8967871641442475,0.014394185012478257,19.500401387200608
5,LSTM+LSTMCNN+,10,2.5146688667558394,19.541639679060907,4.420592684138735,0.8965699947108159,-0.3527043221744657,19.417239340180355
6,GRU+GRUCNN+LSTM+,10,2.417990462310455,20.34053794889152,4.5100485528308365,0.8923415853433748,-0.25974490961676555,20.273070530819698
7,GRU+GRUCNN+LSTMCNN+,10,2.449493595457472,19.077317546411212,4.367758869993994,0.8990275592460633,0.06779062009028229,19.07272197823899
8,GRU+LSTM+LSTMCNN+,10,2.4222383476282787,18.86137200592285,4.342968110166462,0.9001705159662622,-0.16950415119589368,18.832640348650205
9,GRUCNN+LSTM+LSTMCNN+,10,2.428057959168403,18.919457564114538,4.349650280667922,0.8998630806798861,-0.1860507297235389,18.88484269008387
10,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.387421473470451,18.746962797405853,4.32977629877178,0.9007760611117253,-0.15782970621721423,18.722052581241243
